,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,PCA1,PCA2,PCA3,PCA4
danceability,1.0,-0.23558313341771758,-0.21693601668426776,0.04966034090704705,-0.3358093086895905,0.06618009344959945,0.2436410148409612,0.14959894131156712,0.14264153285287132,-0.6728614367469661,-0.5110137266670884,0.4837259607755861
energy,-0.23558313341771758,1.0,0.5329710748705073,0.6245631908468663,-0.2155469205241162,0.3925478972841085,0.6143481060041679,0.48907138421652546,0.7495378953833641,0.5409406973122839,0.10282509304194094,0.06559706086533452
loudness,-0.21693601668426776,0.5329710748705073,1.0,0.22774669380443865,-0.145243820416815,-0.24309157919000213,0.2525494278968812,-0.10178199099556882,0.2318746573275162,0.8173295501046186,-0.44294073668351774,0.1465630418435019
speechiness,0.04966034090704705,0.6245631908468663,0.22774669380443865,1.0,-0.6003836022446586,0.49657523341307147,0.5859477566409036,0.8309756727816683,0.9131813729098768,0.02236223656605291,-0.09680969854271171,-0.23622602856934727
acousticness,-0.3358093086895905,-0.2155469205241162,-0.145243820416815,-0.6003836022446586,1.0,-0.2397060567181407,-0.15498636416416955,-0.4353542394996484,-0.5575458682916947,0.2406058243672569,0.6179754774360349,0.4271594653668224
instrumentalness,0.06618009344959945,0.3925478972841085,-0.24309157919000213,0.49657523341307147,-0.2397060567181407,1.0,0.5087893630979108,0.6047058632869555,0.6750570147620444,-0.3145753813666283,0.4804901794097628,-0.031362833398506894
valence,0.2436410148409612,0.6143481060041679,0.2525494278968812,0.5859477566409036,-0.15498636416416955,0.5087893630979108,1.0,0.6111705536839743,0.786350255074508,0.05743905150244427,0.0959160918379086,0.5477922632312368
tempo,0.14959894131156712,0.48907138421652546,-0.10178199099556882,0.8309756727816683,-0.4353542394996484,0.6047058632869555,0.6111705536839743,1.0,0.8657631435641681,-0.25189160059979404,0.15211988188946673,-0.12458122351881677
PCA1,0.14264153285287132,0.7495378953833641,0.2318746573275162,0.9131813729098768,-0.5575458682916947,0.6750570147620444,0.786350255074508,0.8657631435641681,1.0,-2.175127586082851e-16,-5.2412513430301806e-17,-1.7130623042999852e-16
PCA2,-0.6728614367469661,0.5409406973122839,0.8173295501046186,0.02236223656605291,0.2406058243672569,-0.3145753813666283,0.05743905150244427,-0.25189160059979404,-2.175127586082851e-16,1.0,-2.905657436462837e-16,-3.435772904493364e-16
PCA3,-0.5110137266670884,0.10282509304194094,-0.44294073668351774,-0.09680969854271171,0.6179754774360349,0.4804901794097628,0.0959160918379086,0.15211988188946673,-5.2412513430301806e-17,-2.905657436462837e-16,1.0,2.4889229596644357e-16
PCA4,0.4837259607755861,0.06559706086533452,0.1465630418435019,-0.23622602856934727,0.4271594653668224,-0.031362833398506894,0.5477922632312368,-0.12458122351881677,-1.7130623042999852e-16,-3.435772904493364e-16,2.4889229596644357e-16,1.0
