city,week,rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
bengaluru,30-03-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,30-03-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,30-03-2023,3,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.802,106.999
bengaluru,30-03-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,30-03-2023,5,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,30-03-2023,6,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,30-03-2023,7,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,30-03-2023,8,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,30-03-2023,9,0.649,0.669,-8.933,0.089,0.47,0.00000652,0.523,126.002
bengaluru,30-03-2023,10,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,23-03-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,23-03-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,23-03-2023,3,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,23-03-2023,4,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,23-03-2023,5,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,23-03-2023,6,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,23-03-2023,7,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,23-03-2023,8,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.802,106.999
bengaluru,23-03-2023,9,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,23-03-2023,10,0.649,0.669,-8.933,0.089,0.47,0.00000652,0.523,126.002
bengaluru,16-03-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,16-03-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,16-03-2023,3,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,16-03-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,16-03-2023,5,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,16-03-2023,6,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,16-03-2023,7,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,16-03-2023,8,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,16-03-2023,9,0.649,0.669,-8.933,0.089,0.47,0.00000652,0.523,126.002
bengaluru,16-03-2023,10,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,09-03-2023,1,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,09-03-2023,2,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,09-03-2023,3,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,09-03-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,09-03-2023,5,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,09-03-2023,6,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,09-03-2023,7,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,09-03-2023,8,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,09-03-2023,9,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,09-03-2023,10,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.802,106.999
bengaluru,02-03-2023,1,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,02-03-2023,2,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,02-03-2023,3,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,02-03-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,02-03-2023,5,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,02-03-2023,6,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,02-03-2023,7,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,02-03-2023,8,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,02-03-2023,9,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,02-03-2023,10,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,23-02-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,23-02-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,23-02-2023,3,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,23-02-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,23-02-2023,5,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,23-02-2023,6,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,23-02-2023,7,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
bengaluru,23-02-2023,8,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,23-02-2023,9,0.577,0.379,-13.235,0.0374,0.909,0.000586,0.26,139.585
bengaluru,23-02-2023,10,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,16-02-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,16-02-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,16-02-2023,3,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,16-02-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,16-02-2023,5,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,16-02-2023,6,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,16-02-2023,7,0.712,0.463,-7.399,0.0797,0.011,0.00000296,0.206,131.199
bengaluru,16-02-2023,8,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,16-02-2023,9,0.679,0.748,-5.487,0.054,0.111,0,0.406,118.945
bengaluru,16-02-2023,10,0.603,0.573,-5.843,0.0502,0.478,0,0.236,82.941
bengaluru,09-02-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,09-02-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,09-02-2023,3,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,09-02-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,09-02-2023,5,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,09-02-2023,6,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,09-02-2023,7,0.712,0.463,-7.399,0.0797,0.011,0.00000296,0.206,131.199
bengaluru,09-02-2023,8,0.772,0.75,-3.67,0.0455,0.0201,0,0.587,114.061
bengaluru,09-02-2023,9,0.729,0.396,-8.98,0.0359,0.796,0,0.886,97.281
bengaluru,09-02-2023,10,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
bengaluru,02-02-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,02-02-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,02-02-2023,3,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,02-02-2023,4,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,02-02-2023,5,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,02-02-2023,6,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,02-02-2023,7,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
bengaluru,02-02-2023,8,0.77,0.84,-4.022,0.107,0.515,0.00452,0.192,96.012
bengaluru,02-02-2023,9,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
bengaluru,02-02-2023,10,0.45,0.457,-8.909,0.0516,0.652,0,0.325,157.513
bengaluru,26-01-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,26-01-2023,2,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,26-01-2023,3,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,26-01-2023,4,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,26-01-2023,5,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,26-01-2023,6,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
bengaluru,26-01-2023,7,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
bengaluru,26-01-2023,8,0.817,0.738,-7.639,0.0748,0.0964,0,0.616,104.964
bengaluru,26-01-2023,9,0.714,0.472,-7.375,0.0864,0.013,0.00000451,0.238,131.121
bengaluru,26-01-2023,10,0.45,0.457,-8.909,0.0516,0.652,0,0.325,157.513
bengaluru,19-01-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,19-01-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,19-01-2023,3,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,19-01-2023,4,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,19-01-2023,5,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
bengaluru,19-01-2023,6,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
bengaluru,19-01-2023,7,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
bengaluru,19-01-2023,8,0.714,0.472,-7.375,0.0864,0.013,0.00000451,0.238,131.121
bengaluru,19-01-2023,9,0.45,0.457,-8.909,0.0516,0.652,0,0.325,157.513
bengaluru,19-01-2023,10,0.77,0.84,-4.022,0.107,0.515,0.00452,0.192,96.012
bengaluru,12-01-2023,1,0.698,0.505,-8.242,0.0356,0.354,0,0.396,95.868
bengaluru,12-01-2023,2,0.577,0.574,-6.525,0.0278,0.572,0,0.436,94.009
bengaluru,12-01-2023,3,0.619,0.658,-8.911,0.102,0.457,0.00000387,0.522,125.927
bengaluru,12-01-2023,4,0.586,0.562,-7.399,0.0267,0.803,0.00000552,0.436,93.982
bengaluru,12-01-2023,5,0.773,0.795,-5.537,0.0412,0.0587,0.00237,0.649,115.997
