0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.584017499,7.127097388,6.403068883,3.931736912,0.241872053,2.768138664,1.699133283,0.504138386,4.142050182,0.170756063,1.255383356,6.369707016,0.252069193,0.288365189,0.252069193
1.584017499,0,6.474205911,5.366998971,3.337060969,1.588861532,1.796338108,1.676594425,1.698731316,3.445369397,1.604501506,1.593570066,5.883513859,1.622917398,1.634489061,1.622917398
7.127097388,6.474205911,0,5.394005313,5.74518454,7.159185159,5.186417754,5.696237891,7.000393725,4.879935851,7.041330853,7.698370015,1.558679659,7.059530852,7.016724602,7.059530852
6.403068883,5.366998971,5.394005313,0,6.302917441,6.286592317,4.844013704,5.595559327,6.634603953,5.564081023,6.381212362,6.503057519,5.618614562,6.514989753,6.504645903,6.514989753
3.931736912,3.337060969,5.74518454,6.302917441,0,4.061875674,3.508923243,3.702534885,3.712700836,2.747985922,3.939886182,3.819003872,5.753388471,3.815470147,3.82033025,3.815470147
0.241872053,1.588861532,7.159185159,6.286592317,4.061875674,0,2.804297772,1.722092393,0.736315641,4.24339049,0.288365188,1.244165081,6.403263937,0.486613325,0.504138386,0.486613325
2.768138664,1.796338108,5.186417754,4.844013704,3.508923243,2.804297772,0,1.720870333,2.732818425,2.413594049,2.743953924,3.253597165,4.59490558,2.73896061,2.727689085,2.73896061
1.699133283,1.676594425,5.696237891,5.595559327,3.702534885,1.722092393,1.720870333,0,1.679708178,3.300244537,1.623734613,2.428303989,4.893580452,1.670538195,1.634155665,1.670538195
0.504138386,1.698731316,7.000393725,6.634603953,3.712700836,0.736315641,2.732818425,1.679708178,0,3.993678004,0.483744108,1.489399283,6.228594902,0.252069193,0.241872054,0.252069193
4.142050182,3.445369397,4.879935851,5.564081023,2.747985922,4.24339049,2.413594049,3.300244537,3.993678004,0,4.160171657,4.473583189,4.792789743,4.06072444,4.070595044,4.06072444
0.170756063,1.604501506,7.041330853,6.381212362,3.939886182,0.288365188,2.743953924,1.623734613,0.483744108,4.160171657,0,1.349157856,6.269819418,0.260852678,0.241872055,0.260852678
1.255383356,1.593570066,7.698370015,6.503057519,3.819003872,1.244165081,3.253597165,2.428303989,1.489399283,4.473583189,1.349157856,0,7.084485237,1.354108533,1.400273717,1.354108533
6.369707016,5.883513859,1.558679659,5.618614562,5.753388471,6.403263937,4.59490558,4.893580452,6.228594902,4.792789743,6.269819418,7.084485237,0,6.29450094,6.244558663,6.29450094
0.252069193,1.622917398,7.059530852,6.514989753,3.815470147,0.486613325,2.73896061,1.670538195,0.252069193,4.06072444,0.260852678,1.354108533,6.29450094,0,0.085378031,0
0.288365189,1.634489061,7.016724602,6.504645903,3.82033025,0.504138386,2.727689085,1.634155665,0.241872054,4.070595044,0.241872055,1.400273717,6.244558663,0.085378031,0,0.085378031
0.252069193,1.622917398,7.059530852,6.514989753,3.815470147,0.486613325,2.73896061,1.670538195,0.252069193,4.06072444,0.260852678,1.354108533,6.29450094,0,0.085378031,0
