city,week,rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
chennai,30-03-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,30-03-2023,2,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,30-03-2023,3,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,30-03-2023,4,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,30-03-2023,5,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,30-03-2023,6,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,30-03-2023,7,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,30-03-2023,8,0.692,0.624,-6.492,0.0337,0.368,0,0.487,132.896
chennai,30-03-2023,9,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,30-03-2023,10,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,23-03-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,23-03-2023,2,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,23-03-2023,3,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,23-03-2023,4,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,23-03-2023,5,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,23-03-2023,6,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,23-03-2023,7,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,23-03-2023,8,0.692,0.709,-10.778,0.0502,0.154,0.00000146,0.714,102.999
chennai,23-03-2023,9,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,23-03-2023,10,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,16-03-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,16-03-2023,2,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,16-03-2023,3,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,16-03-2023,4,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,16-03-2023,5,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,16-03-2023,6,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,16-03-2023,7,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,16-03-2023,8,0.609,0.865,-6.335,0.277,0.00538,0,0.514,161.848
chennai,16-03-2023,9,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,16-03-2023,10,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,09-03-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,09-03-2023,2,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,09-03-2023,3,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,09-03-2023,4,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,09-03-2023,5,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,09-03-2023,6,0.609,0.865,-6.335,0.277,0.00538,0,0.514,161.848
chennai,09-03-2023,7,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,09-03-2023,8,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,09-03-2023,9,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,09-03-2023,10,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,02-03-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,02-03-2023,2,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,02-03-2023,3,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,02-03-2023,4,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,02-03-2023,5,0.609,0.865,-6.335,0.277,0.00538,0,0.514,161.848
chennai,02-03-2023,6,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,02-03-2023,7,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,02-03-2023,8,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,02-03-2023,9,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,02-03-2023,10,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,23-02-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,23-02-2023,2,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,23-02-2023,3,0.609,0.865,-6.335,0.277,0.00538,0,0.514,161.848
chennai,23-02-2023,4,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,23-02-2023,5,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,23-02-2023,6,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,23-02-2023,7,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,23-02-2023,8,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,23-02-2023,9,0.65,0.783,-6.197,0.0377,0.22,0.00000371,0.302,109.959
chennai,23-02-2023,10,0.324,0.457,-8.683,0.0336,0.271,0.0000265,0.225,99.902
chennai,16-02-2023,1,0.582,0.504,-8.423,0.05,0.355,0,0.428,90.899
chennai,16-02-2023,2,0.545,0.98,-6.464,0.129,0.666,0.00709,0.658,124.96
chennai,16-02-2023,3,0.674,0.907,-5.078,0.122,0.567,0,0.828,130.011
chennai,16-02-2023,4,0.609,0.865,-6.335,0.277,0.00538,0,0.514,161.848
chennai,16-02-2023,5,0.751,0.826,-7.805,0.205,0.588,0.0125,0.848,176.063
chennai,16-02-2023,6,0.709,0.454,-7.843,0.167,0.445,0,0.548,90.038
chennai,16-02-2023,7,0.602,0.388,-12.098,0.0536,0.334,0.000037,0.3,140.006
chennai,16-02-2023,8,0.764,0.532,-5.979,0.0491,0.598,0,0.859,123.95
chennai,16-02-2023,9,0.664,0.716,-10.904,0.33,0.469,0.000228,0.413,139.632
chennai,16-02-2023,10,0.715,0.654,-7.266,0.336,0.196,0.000117,0.762,175.589
