city,week,rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
chandigarh,30-03-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,30-03-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,30-03-2023,3,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,30-03-2023,4,0.648,0.771,-6.949,0.0694,0.0123,0,0.794,88.063
chandigarh,30-03-2023,5,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,30-03-2023,6,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,30-03-2023,7,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,30-03-2023,8,0.868,0.745,-5.82,0.268,0.187,0.000342,0.762,139.9
chandigarh,30-03-2023,9,0.847,0.558,-5.855,0.0663,0.325,0,0.495,98.062
chandigarh,30-03-2023,10,0.814,0.786,-5.178,0.232,0.069,0,0.797,93.025
chandigarh,23-03-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,23-03-2023,2,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,23-03-2023,3,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,23-03-2023,4,0.648,0.771,-6.949,0.0694,0.0123,0,0.794,88.063
chandigarh,23-03-2023,5,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,23-03-2023,6,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,23-03-2023,7,0.776,0.92,-4.093,0.0634,0.188,0.00000102,0.803,101.967
chandigarh,23-03-2023,8,0.868,0.745,-5.82,0.268,0.187,0.000342,0.762,139.9
chandigarh,23-03-2023,9,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,23-03-2023,10,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,16-03-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,16-03-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,16-03-2023,3,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,16-03-2023,4,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,16-03-2023,5,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,16-03-2023,6,0.868,0.745,-5.82,0.268,0.187,0.000342,0.762,139.9
chandigarh,16-03-2023,7,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,16-03-2023,8,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,16-03-2023,9,0.648,0.771,-6.949,0.0694,0.0123,0,0.794,88.063
chandigarh,16-03-2023,10,0.676,0.447,-8.827,0.0942,0.201,0,0.567,84.715
chandigarh,09-03-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,09-03-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,09-03-2023,3,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,09-03-2023,4,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,09-03-2023,5,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,09-03-2023,6,0.868,0.745,-5.82,0.268,0.187,0.000342,0.762,139.9
chandigarh,09-03-2023,7,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,09-03-2023,8,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,09-03-2023,9,0.676,0.447,-8.827,0.0942,0.201,0,0.567,84.715
chandigarh,09-03-2023,10,0.512,0.589,-3.811,0.287,0.00826,0,0.375,170.293
chandigarh,02-03-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,02-03-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,02-03-2023,3,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,02-03-2023,4,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,02-03-2023,5,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,02-03-2023,6,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,02-03-2023,7,0.512,0.589,-3.811,0.287,0.00826,0,0.375,170.293
chandigarh,02-03-2023,8,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,02-03-2023,9,0.868,0.745,-5.82,0.268,0.187,0.000342,0.762,139.9
chandigarh,02-03-2023,10,0.676,0.447,-8.827,0.0942,0.201,0,0.567,84.715
chandigarh,23-02-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,23-02-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,23-02-2023,3,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,23-02-2023,4,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,23-02-2023,5,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,23-02-2023,6,0.512,0.589,-3.811,0.287,0.00826,0,0.375,170.293
chandigarh,23-02-2023,7,0.711,0.662,-6.087,0.301,0.0879,0,0.581,94.111
chandigarh,23-02-2023,8,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,23-02-2023,9,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,23-02-2023,10,0.676,0.447,-8.827,0.0942,0.201,0,0.567,84.715
chandigarh,16-02-2023,1,0.422,0.792,-3.299,0.182,0.00108,0,0.412,164.169
chandigarh,16-02-2023,2,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,16-02-2023,3,0.512,0.589,-3.811,0.287,0.00826,0,0.375,170.293
chandigarh,16-02-2023,4,0.711,0.662,-6.087,0.301,0.0879,0,0.581,94.111
chandigarh,16-02-2023,5,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,16-02-2023,6,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,16-02-2023,7,0.73,0.673,-6.625,0.0685,0.324,0.0201,0.563,90.058
chandigarh,16-02-2023,8,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,16-02-2023,9,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,16-02-2023,10,0.378,0.572,-6.423,0.263,0.257,0,0.585,91.233
chandigarh,09-02-2023,1,0.449,0.779,-3.321,0.205,0.000898,0,0.433,115.231
chandigarh,09-02-2023,2,0.831,0.75,-5.42,0.153,0.0188,0,0.662,139.979
chandigarh,09-02-2023,3,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
chandigarh,09-02-2023,4,0.64,0.707,-4.803,0.0541,0.144,0,0.411,82.973
chandigarh,09-02-2023,5,0.512,0.589,-3.811,0.287,0.00826,0,0.375,170.293
chandigarh,09-02-2023,6,0.711,0.662,-6.087,0.301,0.0879,0,0.581,94.111
chandigarh,09-02-2023,7,0.711,0.702,-10.048,0.233,0.00487,0.0163,0.674,180.219
chandigarh,09-02-2023,8,0.676,0.447,-8.827,0.0942,0.201,0,0.567,84.715
chandigarh,09-02-2023,9,0.868,0.748,-3.492,0.0951,0.29,0.00000393,0.829,119.965
chandigarh,09-02-2023,10,0.378,0.572,-6.423,0.263,0.257,0,0.585,91.233
chandigarh,02-02-2023,1,0.833,0.678,-3.711,0.141,0.464,0,0.576,109.969
